Model,Family,Platform,Launch_Date,CPU_Core,Threads,Base_Clock_GHz,Boost_Clock_GHz,L1_Cache,L2_Cache,L3_Cache,Unlocked_for_Overclocking,Chip_lithography,CPU_Socket,PCI_Express_Version,Default_TDP,Max._Operating_Temperature_(Tjmax),System_Memory_Type,Graphics_Model
Ryzen-3-4300U,AMD Ryzen Processors,Laptop,1/6/2020,4.0,4.0,2.7GHz,Up to 3.7GHz,,2MB,4MB,,TSMC 7nm FinFET,FP6,PCIe® 3.0,15W,105°C,"DDR4 - Up to 3200MHz, LPDDR4 - Up to 4266MHz",AMD Radeon Graphics
Ryzen-3-3250U,AMD Ryzen Processors,Laptop,1/6/2020,2.0,4.0,2.6GHz,Up to 3.5GHz,192KB,1MB,4MB,,14nm,FP5,PCIe® 3.0,15W,95°C,DDR4,AMD Radeon Graphics
Ryzen-5-3400G,AMD Ryzen Processors,Boxed Processor,,4.0,8.0,3.7GHz,Up to 4.2GHz,384KB,2MB,4MB,Yes,12nm FinFET,AM4,PCIe® 3.0,65W,95°C,DDR4,Radeon RX Vega 11 Graphics
Ryzen-7-4980U,AMD Ryzen Processors,Laptop,4/13/2021,8.0,16.0,2.0GHz,Up to 4.4GHz,512KB,4MB,8MB,No,TSMC 7nm FinFET,FP6,PCIe® 3.0,15W,105°C,LPDDR4,Radeon  Graphics
Ryzen-5-3400GE,AMD Ryzen Processors,Desktop,7/7/19,4.0,8.0,3.3GHz,Up to 4.0GHz,384KB,2MB,4MB,Yes,12nm,AM4,PCIe® 3.0,35W,95°C,,Radeon Vega 11 Graphics
Ryzen-5-4680U,AMD Ryzen Processors,Laptop,4/13/2021,6.0,12.0,2.2GHz,Up to 4.0GHz,384KB,3MB,8MB,No,TSMC 7nm FinFET,FP6,PCIe® 3.0,15W,105°C,LPDDR4,Radeon  Graphics
Ryzen-7-3780U,AMD Ryzen Processors,Laptop,,4.0,8.0,2.3GHz,Up to 4.0GHz,384KB,2MB,4MB,No,12nm,FP5,PCIe® 3.0,15W,105°C,,Radeon RX Vega 11 Graphics
Ryzen-3-3200G,AMD Ryzen Processors,Boxed Processor,7/7/2019,4.0,4.0,3.6GHz,Up to 4.0GHz,384KB,2MB,4MB,Yes,12nm FinFET,AM4,PCIe® 3.0 x8,65W,95°C,DDR4,Radeon Vega 8 Graphics
Ryzen-3-3200GE,AMD Ryzen Processors,Desktop,7/7/19,4.0,4.0,3.3GHz,Up to 3.8GHz,384KB,2MB,4MB,Yes,12nm,AM4,PCIe® 3.0,35W,95°C,,Radeon Vega 8 Graphics
Athlon-320GE,AMD Athlon Processors,Desktop,7/7/2019,2.0,4.0,3.5GHz,,192KB,1MB,4MB,Yes,14nm FinFET,AM4,PCIe® 3.0,35W,95°C,DDR4,Radeon Vega 3 Graphics
Athlon-300GE,AMD Athlon Processors,Desktop,7/7/19,2.0,4.0,3.4GHz,,192KB,1MB,4MB,Yes,14nm,AM4,PCIe® 3.0,35W,95°C,,Radeon Vega 3 Graphics
Ryzen-7-3750H,AMD Ryzen Processors,Laptop,Q1 2019,4.0,8.0,2.3GHz,Up to 4.0GHz,384KB,2MB,4MB,No,12nm,FP5,PCIe® 3.0,35W,105°C,,Radeon RX Vega 10 Graphics
Ryzen-5-3550H,AMD Ryzen Processors,Laptop,Q1 2019,4.0,8.0,2.1GHz,Up to 3.7GHz,384KB,2MB,4MB,No,12nm,FP5,PCIe® 3.0,35W,105°C,,Radeon Vega 8 Graphics
Ryzen-7-3700U,AMD Ryzen Processors,Laptop,Q1 2019,4.0,8.0,2.3GHz,Up to 4.0GHz,384KB,2MB,4MB,No,12nm,FP5,PCIe® 3.0,15W,105°C,DDR4,Radeon RX Vega 10 Graphics
Ryzen-5-3500U,AMD Ryzen Processors,Laptop,Q1 2019,4.0,8.0,2.1GHz,Up to 3.7GHz,384KB,2MB,4MB,No,12nm,FP5,PCIe® 3.0,15W,105°C,,Radeon Vega 8 Graphics
Ryzen-3-3350U,AMD Ryzen Processors,Laptop,Q1 2019,4.0,4.0,2.1GHz,Up to 3.5GHz,348KB,2MB,4MB,No,12nm,FP5,PCIe® 3.0,15W,105°C,,Radeon Vega 6 Graphics
Ryzen-3-3300U,AMD Ryzen Processors,Laptop,Q1 2019,4.0,4.0,2.1GHz,Up to 3.5GHz,384KB,2MB,4MB,No,12nm,FP5,PCIe® 3.0,15W,105°C,,Radeon Vega 6 Graphics
Ryzen-5-3580U,AMD Ryzen Processors,Laptop,,4.0,8.0,2.1GHz,Up to 3.7GHz,384KB,2MB,4MB,No,12nm,FP5,PCIe® 3.0,15W,105°C,,Radeon Vega 9 Graphics
Ryzen-7-3700C,AMD Ryzen Processors,Laptop,9/22/2020,4.0,8.0,2.3GHz,Up to 4.0GHz,384KB,2MB,4MB,No,12nm,FP5,,15W,105°C,,AMD Radeon Graphics
Ryzen-5-3450U,AMD Ryzen Processors,Laptop,Q2 2020,4.0,8.0,2.1GHz,Up to 3.5GHz,384KB,2MB,4MB,No,12nm,FP5,PCIe® 3.0,15W,105°C,,Radeon Vega 8 Graphics
Ryzen-3-3200U,AMD Ryzen Processors,Laptop,Q1 2019,2.0,4.0,2.6GHz,Up to 3.5GHz,192KB,1MB,4MB,No,14nm,FP5,PCIe® 3.0,15W,105°C,,Radeon Vega 3 Graphics
Ryzen-5-3500C,AMD Ryzen Processors,Laptop,9/22/2020,4.0,8.0,2.1GHz,Up to 3.7GHz,384KB,2MB,4MB,No,12nm,FP5,,15W,105°C,,AMD Radeon Graphics
Athlon-300U,AMD Athlon Processors,Laptop,,2.0,4.0,2.4GHz,Up to 3.3GHz,193KB,1MB,4MB,No,14nm,FP5,,15W,105°C,,Radeon Vega 3 Graphics
Athlon-Gold-3150U,AMD Athlon Processors,Laptop,1/6/2020,2.0,4.0,2.4GHz,Up to 3.3GHz,192KB,1MB,4MB,,14nm,FP5,,15W,95°C,DDR4,AMD Radeon Graphics
Ryzen-3-3250C,AMD Ryzen Processors,Laptop,9/22/2020,2.0,4.0,2.6GHz,Up to 3.5GHz,192KB,1MB,4MB,No,14nm,FP5,,15W,105°C,,AMD Radeon Graphics
Athlon-Silver-3050U,AMD Athlon Processors,Laptop,1/6/2020,2.0,2.0,2.3GHz,Up to 3.2GHz,192KB,1MB,4MB,,14nm,FP5,PCIe® 3.0,15W,95°C,DDR4,AMD Radeon Graphics
Athlon-Silver-3050e,AMD Athlon Processors,Laptop,1/6/2020,2.0,4.0,1.4GHz,Up to 2.8GHz,,1MB,4MB,,14nm,,PCIe® 3.0,6W,,DDR4,AMD Radeon Graphics
Athlon-Gold-3150C,AMD Athlon Processors,Laptop,9/22/2020,2.0,4.0,2.4GHz,Up to 3.3GHz,192KB,1MB,4MB,No,14nm,FP5,,15W,95°C,,AMD Radeon Graphics
Athlon--Silver-3050C,AMD Athlon Processors,Laptop,9/22/2020,2.0,2.0,2.3GHz,Up to 3.2GHz,192KB,1MB,4MB,No,14nm,FP5,,15W,95°C,,AMD Radeon Graphics
Athlon-Gold-3150GE,AMD Athlon Processors,Desktop,7/21/2020,4.0,4.0,3.3GHz,Up to 3.8GHz,384KB,2MB,4MB,Yes,12nm,AM4,PCIe® 3.0,35W,95°C,DDR4,Radeon  Graphics
3020e,AMD,Laptop,1/6/2020,2.0,2.0,1.2GHz,Up to 2.6GHz,,1MB,4MB,,14nm,,PCIe® 3.0,6W,,DDR4,AMD Radeon Graphics
Athlon-Gold-3150G,AMD Athlon Processors,Desktop,7/21/2020,4.0,4.0,3.5GHz,Up to 3.9GHz,384KB,2MB,4MB,Yes,12nm,AM4,PCIe® 3.0,65W,95°C,DDR4,Radeon  Graphics
Athlon-Silver-3050GE,AMD Athlon Processors,Desktop,7/21/2020,2.0,4.0,3.4GHz,Up to 3.4GHz,192KB,1MB,4MB,Yes,14nm,AM4,PCIe® 3.0,35W,95°C,DDR4,Radeon  Graphics
3015e,AMD,Laptop,7/6/2020,2.0,4.0,1.2GHz,Up to 2.3GHz,,1MB,4MB,No,14nm,FT5,PCIe® 3.0,6W,105°C,DDR4,AMD Radeon Graphics
3015Ce,AMD,Laptop,4/29/2021,2.0,4.0,1.2GHz,Up to 2.3GHz,,1MB,4MB,No,14nm,FT5,PCIe® 3.0,6W,105°C,DDR4,Radeon  Graphics
Ryzen-Threadripper-2990WX,AMD Ryzen Processors,Boxed Processor,8/13/2018,32.0,64.0,3.0GHz,Up to 4.2GHz,3072KB,16MB,64MB,Yes,12nm,sTR4,PCIe 3.0,250W,68°C,DDR4,Discrete Graphics Card Required
Ryzen-Threadripper-2970WX,AMD Ryzen Processors,Boxed Processor,10/18,24.0,48.0,3.0GHz,Up to 4.2GHz,2304KB,12MB,64MB,Yes,12nm,sTR4,PCIe 3.0,250W,68°C,DDR4,Discrete Graphics Card Required
Ryzen-Threadripper-2950X,AMD Ryzen Processors,Boxed Processor,8/31/2018,16.0,32.0,3.5GHz,Up to 4.4GHz,1536KB,8MB,32MB,Yes,12nm,sTR4,PCIe 3.0,180W,68°C,DDR4,Discrete Graphics Card Required
Ryzen-Threadripper-2920X,AMD Ryzen Processors,Boxed Processor,10/18,12.0,24.0,3.5GHz,Up to 4.3GHz,1152KB,6MB,32MB,Yes,12nm,sTR4,PCIe 3.0,180W,68°C,DDR4,Discrete Graphics Card Required
Ryzen-7-2700X,AMD Ryzen Processors,Boxed Processor,04/19/2018,8.0,16.0,3.7GHz,Up to 4.3GHz,768KB,4MB,16MB,Yes,12nm FinFET,AM4,PCIe 3.0 x16,105W,85°C,DDR4,Discrete Graphics Card Required
Ryzen-7-2700,AMD Ryzen Processors,Boxed Processor,04/19/2018,8.0,16.0,3.2GHz,Up to 4.1GHz,768KB,4MB,16MB,Yes,12nm FinFET,AM4,PCIe 3.0 x16,65W,95°C,DDR4,Discrete Graphics Card Required
Ryzen-7-2700E,AMD Ryzen Processors,Desktop,September 2018,8.0,16.0,2.8GHz,Up to 4.0GHz,768KB,4MB,16MB,Yes,12nm,AM4,PCIe 3.0,45W,95°C,DDR4,Discrete Graphics Card Required
Ryzen-5-2600X,AMD Ryzen Processors,Boxed Processor,04/19/2018,6.0,12.0,3.6GHz,Up to 4.2GHz,576KB,3MB,16MB,Yes,12nm FinFET,AM4,PCIe 3.0 x16,95W,95°C,DDR4,Discrete Graphics Card Required
Ryzen-5-2600,AMD Ryzen Processors,Boxed Processor,04/19/2018,6.0,12.0,3.4GHz,Up to 3.9GHz,576KB,3MB,16MB,Yes,12nm FinFET,AM4,PCIe 3.0 x16,65W,95°C,DDR4,Discrete Graphics Card Required
Ryzen-5-2600E,AMD Ryzen Processors,Desktop,September 2018,6.0,12.0,3.1GHz,Up to 4.0GHz,578KB,3MB,16MB,Yes,12nm,AM4,PCIe 3.0,45W,95°C,DDR4,Discrete Graphics Card Required
Ryzen-5-2500X,AMD Ryzen Processors,Desktop,9/10/2018,4.0,8.0,3.6GHz,Up to 4.0GHz,384KB,2MB,8MB,Yes,12nm,AM4,PCIe 3.0,65W,95°C,DDR4,Discrete Graphics Card Required
Ryzen-5-2400G,AMD Ryzen Processors,Boxed Processor,02/12/2018,4.0,8.0,3.6GHz,Up to 3.9GHz,384KB,2MB,4MB,Yes,14nm FinFET,AM4,PCIe® 3.0 x8,65W,95°C,DDR4,Radeon RX Vega 11 Graphics
Ryzen-5-2400GE,AMD Ryzen Processors,Desktop,04/19/2018,4.0,8.0,3.2GHz,Up to 3.8GHz,384KB,2MB,4MB,Yes,14nm FinFET,AM4,PCIe® 3.0 x8,35W,95°C,DDR4,Radeon RX Vega 11 Graphics
Ryzen-3-2300X,AMD Ryzen Processors,Desktop,9/10/2018,4.0,4.0,3.5GHz,Up to 4.0GHz,384KB,2MB,8MB,Yes,12nm,AM4,PCIe 3.0,65W,95°C,DDR4,Discrete Graphics Card Required
Ryzen-3-2200G,AMD Ryzen Processors,Boxed Processor,02/12/2018,4.0,4.0,3.5GHz,Up to 3.7GHz,384KB,2MB,4MB,Yes,14nm FinFET,AM4,PCIe® 3.0 x8,65W,95°C,DDR4,Radeon Vega 8 Graphics
Ryzen-9-PRO-6950H,AMD Ryzen PRO Processors,Laptop,,8.0,16.0,3.3GHz,Up to 4.9GHz,384KB,4MB,16MB,No,TSMC 6nm FinFET,,PCIe® 4.0,45W,95°C,DDR5,AMD Radeon 680M
Ryzen-9-PRO-6950HS,AMD Ryzen PRO Processors,Laptop,,8.0,16.0,3.3GHz,Up to 4.9GHz,512KB,4MB,16MB,No,TSMC 6nm FinFET,,PCIe® 4.0,35W,94.99°C,DDR5,AMD Radeon 680M
Ryzen-7-PRO-6860Z,AMD Ryzen PRO Processors,Laptop,,8.0,16.0,2.7GHz,Up to 4.75GHz,512KB,4MB,16MB,,TSMC 6nm FinFET,,PCIe® 4.0,28W,95°C,DDR5,AMD Radeon 680M
Ryzen-3-2200GE,AMD Ryzen Processors,Desktop,04/19/2018,4.0,4.0,3.2GHz,Up to 3.6GHz,384KB,2MB,4MB,Yes,14nm FinFET,AM4,PCIe® 3.0 x8,35W,95°C,DDR4,Radeon Vega 8 Graphics
Ryzen-7-2800H,AMD Ryzen Processors,Laptop,9/10/2018,4.0,8.0,3.3GHz,Up to 3.8GHz,192KB,2MB,4MB,No,14nm,FP5,PCIe® 3.0,45W,95°C,,Radeon RX Vega 11 Graphics
Ryzen-5-2600H,AMD Ryzen Processors,Laptop,9/10/2018,4.0,8.0,3.2GHz,Up to 3.6GHz,192KB,2MB,4MB,No,14nm,FP5,PCIe® 3.0,45W,95°C,,Radeon Vega 8 Graphics
Ryzen-7-PRO-6850H,AMD Ryzen PRO Processors,Laptop,,8.0,16.0,3.2GHz,Up to 4.7GHz,512KB,4MB,16MB,No,TSMC 6nm FinFET,,PCIe® 4.0,45W,95°C,DDR5,AMD Radeon 680M
Ryzen-7-2700U,AMD Ryzen Processors,Laptop,10/26/2017,4.0,8.0,2.2GHz,Up to 3.8GHz,384KB,2MB,4MB,No,14nm,FP5,PCIe® 3.0,15W,95°C,DDR4,Radeon RX Vega 10 Graphics
Ryzen-7-PRO-6850HS,AMD Ryzen PRO Processors,Laptop,,8.0,16.0,3.2GHz,Up to 4.7GHz,512KB,4MB,16MB,No,TSMC 6nm FinFET,,PCIe® 4.0,35W,95°C,DDR5,AMD Radeon 680M
Ryzen-5-2500U,AMD Ryzen Processors,Laptop,10/26/2017,4.0,8.0,2.0GHz,Up to 3.6GHz,384KB,2MB,4MB,No,14nm,FP5,PCIe® 3.0,15W,95°C,DDR4,Radeon Vega 8 Graphics
Ryzen-3-2300U,AMD Ryzen Processors,Laptop,1/8/2018,4.0,4.0,2.0GHz,Up to 3.4GHz,384KB,2MB,4MB,No,14nm,FP5,PCIe® 3.0,15W,95°C,DDR4,Radeon Vega 6 Graphics
Ryzen-7-PRO-6850U,AMD Ryzen PRO Processors,Laptop,,8.0,16.0,2.7GHz,Up to 4.7GHz,512KB,4MB,16MB,No,TSMC 6nm FinFET,,PCIe® 4.0,,95°C,DDR5,AMD Radeon 680M
Ryzen-3-2200U,AMD Ryzen Processors,Laptop,1/8/2018,2.0,4.0,2.5GHz,Up to 3.4GHz,384KB,1MB,4MB,No,14nm,FP5,PCIe® 3.0,15W,95°C,DDR4,Radeon Vega 3 Graphics
Ryzen-5-PRO-6650H,AMD Ryzen PRO Processors,Laptop,,6.0,12.0,3.3GHz,Up to 4.5GHz,384KB,3MB,16MB,No,TSMC 6nm FinFET,,PCIe® 4.0,45W,95°C,DDR5,AMD Radeon 660M
Ryzen-Threadripper-1950X,AMD Ryzen Processors,Boxed Processor,7/31/2017,16.0,32.0,3.4GHz,Up to 4.0GHz,1536KB,8MB,32MB,Yes,14nm,sTR4,PCIe 3.0,180W,68°C,DDR4,Discrete Graphics Card Required
Ryzen-Threadripper-1920X,AMD Ryzen Processors,Boxed Processor,7/31/2017,12.0,24.0,3.5GHz,Up to 4.0GHz,1152KB,6MB,32MB,Yes,14nm,sTR4,PCIe 3.0,180W,68°C,DDR4,Discrete Graphics Card Required
Ryzen-Threadripper-1900X,AMD Ryzen Processors,Boxed Processor,8/31/2017,8.0,16.0,3.8GHz,Up to 4.0GHz,768KB,4MB,16MB,Yes,14nm,sTR4,PCIe 3.0,180W,68°C,DDR4,Discrete Graphics Card Required
Ryzen-5-PRO-6650HS,AMD Ryzen PRO Processors,Laptop,,6.0,12.0,3.3GHz,Up to 4.5GHz,384KB,3MB,16MB,No,TSMC 6nm FinFET,,PCIe® 4.0,35W,95°C,DDR5,AMD Radeon 660M
Ryzen-7-1800X,AMD Ryzen Processors,Boxed Processor,3/2/2017,8.0,16.0,3.6GHz,Up to 4.0GHz,768KB,4MB,16MB,Yes,14nm,AM4,PCIe 3.0 x16,95W,95°C,DDR4,Discrete Graphics Card Required
Ryzen-5-PRO-5650G,AMD Ryzen PRO Processors,Desktop,6/1/2021,6.0,12.0,3.9GHz,Up to 4.4GHz,,3MB,16MB,No,TSMC 7nm FinFET,AM4,PCIe® 3.0,65W,95°C,DDR4,Radeon  Graphics
Ryzen-5-PRO-5650GE,AMD Ryzen PRO Processors,Desktop,6/1/2021,6.0,12.0,3.4GHz,Up to 4.4GHz,,3MB,16MB,No,TSMC 7nm FinFET,AM4,PCIe® 3.0,35W,95°C,DDR4,Radeon  Graphics
Ryzen-9-PRO-3900,AMD Ryzen PRO Processors,Desktop,9/30/19,12.0,24.0,3.1GHz,Up to 4.3GHz,768KB,6MB,64MB,No,TSMC 7nm FinFET,AM4,PCIe 4.0,65W,95°C,DDR4,Discrete Graphics Card Required
Ryzen-7-1700X,AMD Ryzen Processors,Boxed Processor,3/2/2017,8.0,16.0,3.4GHz,Up to 3.8GHz,768KB,4MB,16MB,Yes,14nm,AM4,PCIe 3.0 x16,95W,95°C,DDR4,Discrete Graphics Card Required
Ryzen-5-PRO-6650U,AMD Ryzen PRO Processors,Laptop,,6.0,12.0,2.9GHz,Up to 4.5GHz,384KB,3MB,16MB,No,TSMC 6nm FinFET,,PCIe® 4.0,,95°C,DDR5,AMD Radeon 660M
Ryzen-7-PRO-5875U,AMD Ryzen PRO Processors,Laptop,,8.0,16.0,2.0GHz,Up to 4.5GHz,512KB,4MB,16MB,No,TSMC 7nm FinFET,FP6,PCIe® 3.0,15W,95°C,DDR4,AMD Radeon Graphics
Ryzen-7-PRO-3700,AMD Ryzen PRO Processors,Desktop,9/30/19,8.0,16.0,3.6GHz,Up to 4.4GHz,512KB,4MB,32MB,No,TSMC 7nm FinFET,AM4,PCIe 4.0,65W,95°C,DDR4,Discrete Graphics Card Required
Ryzen-7-1700,AMD Ryzen Processors,Boxed Processor,3/2/2017,8.0,16.0,3.0GHz,Up to 3.7GHz,768KB,4MB,16MB,Yes,14nm,AM4,PCIe 3.0 x16,65W,95°C,DDR4,Discrete Graphics Card Required
Ryzen-5-PRO-5675U,AMD Ryzen PRO Processors,Laptop,,6.0,12.0,2.3GHz,Up to 4.3GHz,384KB,3MB,16MB,No,TSMC 7nm FinFET,FP6,PCIe® 3.0,15W,95°C,DDR4,AMD Radeon Graphics
Ryzen-7-PRO-5850U,AMD Ryzen PRO Processors,Laptop,03/16/2021,8.0,16.0,1.9GHz,Up to 4.4GHz,,4MB,16MB,No,TSMC 7nm FinFET,FP6,PCIe® 3.0,15W,105°C,"DDR4, LPDDR4",AMD Radeon Graphics
Ryzen-7-PRO-5750G,AMD Ryzen PRO Processors,Desktop,6/1/2021,8.0,16.0,3.8GHz,Up to 4.6GHz,,4MB,16MB,No,TSMC 7nm FinFET,AM4,PCIe® 3.0,65W,95°C,DDR4,Radeon  Graphics
Ryzen-3-PRO-5475U,AMD Ryzen PRO Processors,Laptop,,4.0,8.0,2.7GHz,Up to 4.1GHz,256KB,2MB,8MB,No,TSMC 7nm FinFET,FP6,PCIe® 3.0,15W,95°C,DDR4,AMD Radeon Graphics
Ryzen-5-PRO-5650U,AMD Ryzen PRO Processors,Laptop,03/16/2021,6.0,12.0,2.3GHz,Up to 4.2GHz,,3MB,16MB,No,TSMC 7nm FinFET,FP6,PCIe® 3.0,15W,105°C,"DDR4, LPDDR4",AMD Radeon Graphics
Ryzen-3-PRO-5450U,AMD Ryzen PRO Processors,Laptop,03/16/2021,4.0,8.0,2.6GHz,Up to 4.0GHz,,2MB,8MB,No,TSMC 7nm FinFET,FP6,PCIe® 3.0,15W,105°C,"DDR4, LPDDR4",AMD Radeon Graphics
Ryzen-7-PRO-5750GE,AMD Ryzen PRO Processors,Desktop,6/1/2021,8.0,16.0,3.2GHz,Up to 4.6GHz,,4MB,16MB,No,TSMC 7nm FinFET,AM4,PCIe® 3.0,35W,95°C,DDR4,Radeon  Graphics
Ryzen-3-PRO-5350G,AMD Ryzen PRO Processors,Desktop,6/1/2021,4.0,8.0,4.0GHz,Up to 4.2GHz,,2MB,8MB,No,TSMC 7nm FinFET,AM4,PCIe® 3.0,65W,95°C,DDR4,Radeon  Graphics
Ryzen-7-PRO-4750G,AMD Ryzen PRO Processors,Desktop,7/21/2020,8.0,16.0,3.6GHz,Up to 4.4GHz,512KB,4MB,8MB,No,TSMC 7nm FinFET,AM4,PCIe® 3.0,65W,95°C,DDR4,Radeon Graphics
Ryzen-5-PRO-3600,AMD Ryzen PRO Processors,Desktop,9/30/19,6.0,12.0,3.6GHz,Up to 4.2GHz,384KB,3MB,32MB,No,TSMC 7nm FinFET,AM4,PCIe 4.0,65W,95°C,DDR4,Discrete Graphics Card Required
Ryzen-5-1600X,AMD Ryzen Processors,Boxed Processor,4/11/2017,6.0,12.0,3.6GHz,Up to 4.0GHz,576KB,3MB,16MB,Yes,14nm,AM4,PCIe 3.0 x16,95W,95°C,DDR4,Discrete Graphics Card Required
Ryzen-3-PRO-5350GE,AMD Ryzen PRO Processors,Desktop,6/1/2021,4.0,8.0,3.6GHz,Up to 4.2GHz,,2MB,8MB,No,TSMC 7nm FinFET,AM4,PCIe® 3.0,35W,95°C,DDR4,Radeon  Graphics
Ryzen-7-PRO-4750GE,AMD Ryzen PRO Processors,Desktop,7/21/2020,8.0,16.0,3.1GHz,Up to 4.3GHz,512KB,4MB,8MB,No,TSMC 7nm FinFET,AM4,PCIe® 3.0,35W,95°C,DDR4,Radeon Graphics
Ryzen-5-PRO-4650G,AMD Ryzen PRO Processors,Desktop,7/21/2020,6.0,12.0,3.7GHz,Up to 4.2GHz,384KB,3MB,8MB,No,TSMC 7nm FinFET,AM4,PCIe® 3.0,65W,95°C,DDR4,Radeon Graphics
Ryzen-5-PRO-4650GE,AMD Ryzen PRO Processors,Desktop,7/21/2020,6.0,12.0,3.3GHz,Up to 4.2GHz,384KB,3MB,8MB,No,TSMC 7nm FinFET,AM4,PCIe® 3.0,35W,95°C,DDR4,Radeon Graphics
Ryzen-3-PRO-4350G,AMD Ryzen PRO Processors,Desktop,7/21/2020,4.0,8.0,3.8GHz,Up to 4.0GHz,256KB,2MB,4MB,No,TSMC 7nm FinFET,AM4,PCIe® 3.0,65W,95°C,DDR4,Radeon Graphics
Ryzen-3-PRO-4350GE,AMD Ryzen PRO Processors,Desktop,7/21/2020,4.0,8.0,3.5GHz,Up to 4.0GHz,256KB,2MB,4MB,No,TSMC 7nm FinFET,AM4,PCIe® 3.0,35W,95°C,DDR4,Radeon Vega 6 Graphics
Ryzen-5-1600,AMD Ryzen Processors,Boxed Processor,4/11/2017,6.0,12.0,3.2GHz,Up to 3.6GHz,576KB,3MB,16MB,Yes,14nm,AM4,PCIe 3.0 x16,65W,95°C,DDR4,Discrete Graphics Card Required
Ryzen-5-1600-(AF),AMD Ryzen Processors,Boxed Processor,,6.0,12.0,3.2GHz,Up to 3.6GHz,576KB,3MB,16MB,Yes,12nm,AM4,PCIe 3.0 x16,65W,95°C,DDR4,Discrete Graphics Card Required
Ryzen-5-PRO-3400G,AMD Ryzen PRO Processors,Desktop,9/30/19,4.0,8.0,3.7GHz,Up to 4.2GHz,384KB,2MB,4MB,No,12nm,AM4,PCIe® 3.0,65W,95°C,DDR4,Radeon Vega 11 Graphics
Ryzen-5-1500X,AMD Ryzen Processors,Boxed Processor,4/11/2017,4.0,8.0,3.5GHz,Up to 3.7GHz,384KB,2MB,16MB,Yes,14nm,AM4,PCIe 3.0 x16,65W,95°C,DDR4,Discrete Graphics Card Required
Ryzen-5-PRO-3400GE,AMD Ryzen PRO Processors,Desktop,9/30/19,4.0,8.0,3.3GHz,Up to 4.0GHz,384KB,2MB,4MB,No,12nm,AM4,PCIe® 3.0,35W,95°C,DDR4,Radeon Vega 11 Graphics
Ryzen-5-PRO-3350G,AMD Ryzen PRO Processors,Desktop,7/21/2020,4.0,8.0,3.6GHz,Up to 4.0GHz,384KB,2MB,4MB,No,12nm,AM4,PCIe® 3.0,65W,95°C,DDR4,Radeon  Graphics
Ryzen-5-PRO-3350GE,AMD Ryzen PRO Processors,Desktop,7/21/2020,4.0,4.0,3.3GHz,Up to 3.9GHz,384KB,2MB,4MB,No,12nm,,PCIe® 3.0,35W,95°C,DDR4,Radeon  Graphics
